Module,Topic,Usage in Machine Learning,,
,,,,
Descriptive Statistics,What is Stats/Types of Stats,,,
,Population Vs Sample,"In machine learning, a population might refer to the entire set of data relevant to a problem, while a sample would be a subset of that data. Training a model typically happens on a sample of the total data (the training set), which is assumed to be representative of the population. This concept is used to perform inferential statistics and to estimate the model's performance on unseen data.",,
,,,,
,Types of Data,"Understanding the type of data you're working with helps in selecting the appropriate preprocessing techniques, feature engineering methods, and machine learning models.",,
,,,,
,Measures of Central Tendency,"These measures provide the central value of a data distribution. They are used to understand the 'typical' value in a dataset and are used in various areas of machine learning including exploratory data analysis, outlier detection, and data imputation.",,
,- Mean,,Yellow,Important
,- Median,,Red,Extremely Important
,- Mode,,[L],Later
,- Weighted Mean [L],,,
,- Trimmed Mean [L],,,
,,,,
,Measure of Dispersion,"These measures provide insights into the spread or variability of the data distribution. They help in understanding the consistency in the data and are also used in exploratory data analysis, outlier detection, feature normalization, etc.",,
,- Range,,,
,- Variance,,,
,- Standard Deviation,,,
,- Coefficient of Variation,,,
,,,,
,Quantiles and Percentiles,"These help in understanding the distribution of data and are used in descriptive statistics, outlier detection, and setting up thresholds for decision-making.",,
,5 number summary and BoxPlot,"These are used in the exploratory data analysis phase to understand the data distribution and identify outliers. Boxplots graphically depict the minimum, first quartile, median, third quartile, and maximum of a dataset.",,
,,,,
,Skewness,"These are used to understand the asymmetry and tailedness of the data distribution, respectively. They're particularly useful in exploratory data analysis, informing data transformations needed to meet the assumptions of some machine learning algorithms.",,
,Kurtosis [L],,,
,,,,
,Plotting Graphs,"Graphical analysis is crucial in the exploratory phase of machine learning. It helps in understanding the distributions of individual variables (univariate), relationships between two variables (bivariate), or complex interactions among multiple variables (multivariate).",,
,- Univariate Analysis,,,
,- Bivariate Analysis,,,
,- Multivariate Analysis,,,
,,,,
,,,,
Correlation,Covariance,"Covariance is a measure that indicates the extent to which two variables change in tandem. The covariance matrix, on the other hand, gives the covariance between each pair of features in a dataset. These concepts are used in many machine learning algorithms, such as Principal Component Analysis (PCA) for dimensionality reduction, or Gaussian Mixture Models for clustering.",,
,Covariance Matrix,,,
,Pearson Correlation Coefficient,"This statistic measures the linear relationship between two datasets. It's used in feature selection, where highly correlated input features can be identified and reduced, to improve the performance and interpretability of the model.",,
,Spearman Correlation Coefficient [L],"This measures the monotonic relationship between two datasets. It's useful when the data doesn't meet the assumptions of Pearson's correlation (linearity, normality). It can be used in the same contexts as Pearson's correlation coefficient.",,
,Correlation and Causation,"Correlation measures association between variables, while causation indicates a cause-effect relationship. In machine learning, it's important to remember that correlation doesn't imply causation, and algorithms based purely on correlation might fail to generalize well.",,
,,,,
,,,,
Probability Distributions,Random Variables,"Random variables and their distributions form the mathematical basis of probabilistic machine learning algorithms. They help us understand the data's inherent randomness and variability, and guide the choice and behavior of algorithms.",,
,What are Probability Distributions,,,
,Why are Probability Distributions important,,,
,Probability Distribution Functions and it's types,,,
,,,,
,Probability Mass Function (PMF),"These concepts are critical in understanding and manipulating discrete random variables, often used in algorithms like Naive Bayes, Hidden Markov Models, etc.",,
,CDF of PMF,,,
,,,,
